time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass_flow_rate,thrust,mass,apoapsis,periapsis
0,0,0,0,0,9.8,0,90,0,495000,2100,5600000,525000,0,0
0.5,4.9,0.001,1.7,0,10.1,0,90,15,494750,2100,5600000,524750,0,0
1,9.8,0.005,3.5,0,10.5,0,90,58,494500,2100,5600000,524500,0,0
1.5,14.7,0.011,5.2,0,10.8,0,90,87,494250,2100,5600000,524250,0,0
2,19.6,0.02,7.0,0,11.2,0,90,12,494000,2100,5600000,524000,0,0
2.5,24.5,0.031,8.7,0,11.5,0,90,28,493750,2100,5600000,523750,0,0
3,29.4,0.045,10.5,0,11.8,0,90,45,493500,2100,5600000,523500,0,0
3.5,34.3,0.061,12.2,0,12.1,0,90,62,493250,2100,5600000,523250,0,0
4,39.2,0.08,14.0,0,12.4,0,90,78,493000,2100,5600000,523000,0,0
4.5,44.1,0.102,15.7,0,12.7,0,90,95,492750,2100,5600000,522750,0,0
5,48.5,0.15,17.2,0,12.8,0,90,82,492500,2100,5600000,522500,0,0
6,57.8,0.22,20.5,0,13.1,0,90,115,492000,2100,5600000,522000,0,0
7,67.1,0.31,23.8,0,13.4,0,90,148,491500,2100,5600000,521500,0,0
8,76.4,0.42,27.1,0,13.7,0,90,181,491000,2100,5600000,521000,0,0
9,85.7,0.55,30.4,0,14.0,0,90,214,490500,2100,5600000,520500,0,0
10,95.2,0.8,33.8,0,13.5,0,90,346,490000,1990,5600000,520000,0,0
11,104.5,1.08,37.1,0,13.6,0,90,412,489200,1980,5600000,519200,0,0
12,113.8,1.39,40.4,0,13.7,0,90,478,488400,1970,5600000,518400,0,0
13,123.1,1.73,43.7,0,13.8,0,90,544,487600,1960,5600000,517600,0,0
14,132.4,2.10,47.0,0,13.9,0,90,610,486800,1950,5600000,516800,0,0
15,142.3,2.5,50.1,0,14.1,0,90,1180,486000,1880,5600000,516000,0,0
16,151.8,2.95,53.8,0,14.2,0,90,1256,485000,1870,5600000,515000,0,0
17,161.3,3.43,57.5,0,14.3,0,90,1332,484000,1860,5600000,514000,0,0
18,170.8,3.95,61.2,0,14.4,0,90,1408,483000,1850,5600000,513000,0,0
19,180.3,4.50,64.9,0,14.5,0,90,1484,482000,1840,5600000,512000,0,0
20,189.1,5.8,66.2,0,14.8,0,90,2360,481000,1770,5600000,511000,0,0
21,198.5,6.52,69.8,0.5,14.9,0.01,89,2438,479800,1765,5600000,509800,0,0
22,207.9,7.28,73.4,1.0,15.0,0.02,89,2516,478600,1760,5600000,508600,0,0
23,217.3,8.08,77.0,1.5,15.1,0.03,89,2594,477400,1755,5600000,507400,0,0
24,226.7,8.92,80.6,2.0,15.2,0.04,89,2672,476200,1750,5600000,506200,0,0
25,235.2,10.5,82.1,0,15.3,0,90,3980,475000,1660,5600000,505000,0,0
26,244.3,11.52,85.2,2.8,15.4,0.07,88,4065,473500,1655,5600000,503500,0,0
27,253.4,12.58,88.3,5.6,15.5,0.14,88,4150,472000,1650,5600000,502000,0,0
28,262.5,13.68,91.4,8.4,15.6,0.21,88,4235,470500,1645,5600000,500500,0,0
29,271.6,14.82,94.5,11.2,15.7,0.28,88,4320,469000,1640,5600000,499000,0,0
30,280.5,17.0,97.5,0,15.8,0,90,6180,467500,1550,5600000,497500,0,0
31,289.2,18.32,100.1,13.8,15.9,0.43,87,6272,465800,1545,5600000,495800,0,0
32,297.9,19.68,102.7,17.6,16.0,0.56,87,6364,464100,1540,5600000,494100,0,0
33,306.6,21.08,105.3,21.4,16.1,0.69,87,6456,462400,1535,5600000,492400,0,0
