time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass_flow_rate,thrust,mass,apoapsis,periapsis,propellant_est,mass_flow_rate_est,rho_est,kinetic_energy_est,potential_energy_est,delta_time,delta_v,cum_delta_v,dynamic_pressure_est,thrust_to_weight_est,mach_est,drag_est,apoapsis_est,periapsis_est
0,0.0,0.0,0.0,0.0,9.8,0.0,90.0,0.0,495000.0,2100.0,5600000.0,525000.0,0.0,0.0,472725.0,2005.5,1.225,0.0,0.0,1.0,0.0,0.0,0.0,1.0876972938431233,0.0,0.0,-31855.0,-6339145.0
1,2.145060193015621,0.00043776738632971847,0.7442045567605213,0.0,9.931330215898916,0.0,90.0,6.566510794945777,494890.55815341754,2100.0,5600000.0,524890.5581534175,0.0,0.0,472620.48303651373,2005.5,1.2249999369099962,1207585.0618440448,2253.3717207548434,1.0,2.145060193015621,2.145060193015621,2.8182858342443917,1.0879240832157113,0.006303623947267392,14.091429171221959,-31854.766460540704,-6339144.998826435
2,4.290120386031242,0.0008755347726594369,1.4884091135210427,0.0,10.06266043179783,0.0,90.0,13.133021589891554,494781.11630683515,2100.0,5600000.0,524781.1163068351,0.0,0.0,472515.9660730275,2005.5,1.2249998738199952,4829333.101509136,4505.803766911525,1.0,2.145060193015621,4.290120386031242,11.27314275638764,1.0881509671810614,0.012607247894534783,56.365713781938204,-31854.06671322044,-6339144.995310117
3,6.435180579046862,0.0022532086359566216,2.2639438861804795,0.0,10.225320863595663,0.0,90.0,28.47199283653368,494671.6744602527,2100.0,5600000.0,524671.6744602527,0.0,0.0,472411.4491095413,2005.5,1.2249996752729162,10863733.400194708,11593.370124843264,1.0,2.1450601930156203,6.435180579046862,25.36456709080113,1.0883779457983678,0.018910871841802172,126.82283545400566,-31852.89982251823,-6339144.989446344
4,8.580240772062481,0.0040042781812754955,3.051925181573973,0.0,10.40042781812755,0.0,90.0,47.29599044871158,494562.2326136703,2100.0,5600000.0,524562.2326136703,0.0,0.0,472306.9321460551,2005.5,1.2249994229129864,19309275.23910019,20598.800686339055,1.0,2.1450601930156195,8.580240772062481,45.09255442754367,1.088605019126873,0.02521449578906956,225.46277213771836,-31851.266351599246,-6339144.981237948
5,10.725300965078102,0.006133021589891554,3.821022783802607,0.0,10.556651079494578,0.0,90.0,63.476271017809175,494452.79076708783,2100.0,5600000.0,524452.7907670878,0.0,0.0,472202.4151825689,2005.5,1.2249991161236782,30164447.899425026,31542.89642272313,1.0,2.1450601930156203,10.725300965078102,70.45709864773075,1.08883218722587,0.031518119736336954,352.2854932386537,-31849.166295487434,-6339144.970684902
6,12.870361158093722,0.008759625907869864,4.565227340563128,0.0,10.687981295393493,0.0,90.0,76.17152522137101,494343.34892050544,2100.0,5600000.0,524343.3489205054,0.0,0.0,472097.8982190827,2005.5,1.2249987375839757,43427740.66236865,45042.44931450083,1.0,2.1450601930156203,12.870361158093722,101.45819070090134,1.0890594501547002,0.037821743683604345,507.29095350450666,-31846.599533665925,-6339144.957786601
7,15.015421351109342,0.011579345338772262,5.315869067754453,0.0,10.825748681723212,0.0,90.0,82.17212217689782,494233.907073923,2100.0,5600000.0,524233.907073923,0.0,0.0,471993.3812555964,2005.5,1.224998331213132,59097642.80913049,59529.16479159866,1.0,2.1450601930156203,15.015421351109342,138.09582486545676,1.0892868079727556,0.04412536763087173,690.4791243272838,-31843.566368225962,-6339144.942544564
8,17.160481544124963,0.015519251815739729,6.103850363147946,0.0,11.0008556362551,0.0,90.0,49.33956820216893,494124.4652273406,2100.0,5600000.0,524124.4652273406,0.0,0.0,471888.86429211026,2005.5,1.2249977634039861,77172643.62090999,79767.48290486462,1.0,2.1450601930156203,17.160481544124963,180.36997336230476,1.0895142607394772,0.05042899157813912,901.8498668115237,-31840.065875384025,-6339144.924954148
9,19.305541737140587,0.019459158292707196,6.891831658541439,0.0,11.175962590786986,0.0,90.0,16.507014227440038,494015.0233807581,2100.0,5600000.0,524015.0233807581,0.0,0.0,471784.347328624,2005.5,1.2249971955951033,97651232.37890661,99997.34394674713,1.0,2.145060193015624,19.305541737140587,228.28064172436262,1.0897418085143558,0.056732615525406524,1141.403208621813,-31836.099168190733,-6339144.905020946
