time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass flow rate,thrust,mass
0,0,0,0,0,9.777,0,90,0,517836.3967,2163.603346,5530063.1,550136.3967
1,9.752,0.005,3.462,0,10.448,0,90,58.22015841,515538.6394,2297.757217,5874898.598,547838.6394
2,3.854,0.012,5.66,0,11.203,0,90,9.085613538,513090.8072,2447.832203,6260675.325,545390.8072
3,5.277,0.016,7.741,0,11.975,0,90,17.02930061,510491.3694,2599.43786,6650349.84,542791.3694
4,8.611,0.023,9.968,0,12.534,0,90,45.31480891,507787.2524,2704.11694,6919458.978,540087.2524
5,11.611,0.033,12.254,0,12.807,0,90,82.3105148,505039.7346,2747.517839,7031119.029,537339.7346
6,13.983,0.046,14.808,0,12.926,0,90,119.2196977,502281.5701,2758.164454,7058636.279,534581.5701
7,17.222,0.062,17.597,0,12.99,0,90,180.589702,499524.4732,2757.096897,7056083.655,531824.4732
8,20.833,0.081,20.666,0,13.04,0,90,263.7757326,496771.5245,2752.948757,7045649.27,529071.5245
9,23.888,0.103,23.891,0,13.083,0,90,346.0641125,494024.317,2747.207497,7031155.67,526324.317
10,27.085,0.129,27.176,0,13.116,0,90,443.8044448,491285.048,2739.268994,7011061.812,523585.048
11,30.418,0.157,30.477,0,13.149,0,90,558.2032772,488553.7995,2731.248502,6990779.881,520853.7995
12,33.681,0.19,33.848,0,13.19,0,90,682.2832278,485829.1292,2724.670315,6974262.325,518129.1292
13,37.222,0.225,37.32,0,13.267,0,90,830.4276341,483103.9578,2725.171364,6975960.29,515403.9578
14,40.555,0.264,40.917,0,13.382,0,90,982.1115292,480371.0132,2732.944661,6996392.815,512671.0132
15,44.585,0.306,44.607,0,13.513,0,90,1182.128291,477627.4967,2743.516496,7024050.249,509927.4967
16,48.333,0.353,48.38,0,13.613,0,90,1382.998055,474879.9556,2747.541097,7034936.491,507179.9556
17,52.222,0.403,52.204,0,13.683,0,90,1606.6704,472134.5536,2745.402011,7030013.407,504434.5536
18,56.111,0.457,56.04,0,13.714,0,90,1845.165334,469399.0983,2735.45522,7005066.659,501699.0983
19,59.722,0.515,59.876,0,13.74,0,90,2078.578512,466674.6638,2724.434548,6977401.319,498974.6638
20,63.888,0.577,63.731,0,13.781,0,90,2364.434705,463958.4585,2716.205321,6956950.375,496258.4585
21,67.408,0.643,67.685,0,13.852,0,90,2615.409484,461244.8854,2713.573075,6950923.095,493544.8854
22,71.388,0.712,71.731,0,13.95,0,90,2913.570571,458529.0141,2715.871305,6957594.519,490829.0141
23,75.693,0.786,75.931,0,14.052,0,90,3252.124678,455810.4197,2718.59436,6965406.253,488110.4197
24,80.277,0.864,80.255,0,14.165,0,90,3630.157287,453087.3496,2723.070085,6977758.629,485387.3496
25,84.444,0.946,84.718,0,14.273,0,90,3984.513709,450361.0819,2726.26778,6986861.611,482661.0819
26,89.305,1.033,89.231,0,14.356,0,90,4418.598019,447636.6079,2724.473961,6983180.999,479936.6079
27,93.794,1.124,93.799,0,14.422,0,90,4830.279235,444917.3071,2719.300843,6970848.123,477217.3071
28,98.333,1.22,98.404,0,14.479,0,90,5259.025554,442205.038,2712.269046,6953780.111,474505.038
29,102.916,1.321,103.108,0,14.551,0,90,5703.655675,439497.2352,2707.80277,6943345.501,471797.2352
30,107.686,1.426,107.892,0,14.607,0,90,6179.764541,436796.9934,2700.241808,6924985.716,469096.9934
31,112.5,1.536,112.805,0,14.699,0,90,6671.33793,434097.9758,2699.017679,6922948.412,466397.9758
32,117.916,1.652,117.821,0,14.817,0,90,7245.540345,431395.807,2702.168752,6932200.294,463695.807
33,122.777,1.772,122.959,0,14.971,0,90,7761.401083,428684.3857,2711.421304,6957156.178,460984.3857
34,128.055,1.897,128.154,-0.01,15.068,0,90,8337.66382,425974.2662,2710.119543,6955018.833,458274.2662
35,133.333,2.028,133.435,-0.109,15.135,0,90,8921.236809,423271.0209,2703.245251,6938599.008,455571.0209
36,138.797,2.164,138.796,-0.388,15.192,0,90,9535.70436,420576.5645,2694.456385,6917285.996,452876.5645
37,143.888,2.306,144.281,-0.828,15.303,-0.001,90,10102.72234,417881.6404,2694.924077,6919796.812,450181.6404
38,149.722,2.452,149.847,-1.175,15.429,-0.002,90,10776.8688,415183.9192,2697.721194,6928308.339,447483.9192
39,155.555,2.605,155.5,-1.092,15.541,-0.003,89.837,11453.55484,412486.1794,2697.7398,6929718.165,444786.1794
40,161.167,2.763,161.224,-0.319,15.608,-0.004,89.673,12097.54262,409796.3925,2689.78694,6910660.139,442096.3925
41,166.944,2.927,167.034,1.399,15.653,-0.003,89.51,12763.70041,407118.447,2677.945543,6881633.91,439418.447
42,172.707,3.097,172.928,4.346,15.719,0,88.954,13423.21149,404448.8699,2669.577035,6861555.874,436748.8699
43,178.61,3.273,178.772,8.659,15.823,0.006,88.233,14098.12482,401781.4146,2667.455301,6857552.447,434081.4146
44,185,3.455,184.648,14.123,15.965,0.018,87.675,14841.85993,399109.9845,2671.43013,6869235.128,431409.9845
45,191.249,3.643,190.209,20.298,16.085,0.035,87.117,15553.18608,396438.5808,2671.403736,6870650.154,428738.5808
46,197.5,3.824,195.636,26.776,16.187,0.058,86.081,16274.27147,393770.2175,2668.363251,6864232.862,426070.2175
